"No.","Time","Source","Destination","Protocol","Length","Info"
"40","0.060580","2401:4900:32b3:30df:159e:27ba:5143:dbb6","2a03:90c0:5a1:2801::62","TCP","86","40472  >  80 [ACK] Seq=1 Ack=19216 Win=210 Len=0 TSval=471866820 TSecr=3839641552"
"41","0.065209","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
"42","0.067567","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
"43","0.067567","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
"44","0.067680","2401:4900:32b3:30df:159e:27ba:5143:dbb6","2a03:90c0:5a1:2801::62","TCP","86","40473  >  80 [ACK] Seq=1 Ack=16654 Win=194 Len=0 TSval=471866827 TSecr=1306369335"
"45","0.067747","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
"46","0.067775","2401:4900:32b3:30df:159e:27ba:5143:dbb6","2a03:90c0:5a1:2801::62","TCP","86","40473  >  80 [ACK] Seq=1 Ack=17935 Win=194 Len=0 TSval=471866827 TSecr=1306369338"
"47","0.090821","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
"48","0.091127","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
"49","0.091176","2401:4900:32b3:30df:159e:27ba:5143:dbb6","2a03:90c0:5a1:2801::62","TCP","86","40472  >  80 [ACK] Seq=1 Ack=21778 Win=210 Len=0 TSval=471866851 TSecr=3839641565"
"50","0.091361","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
"51","0.091468","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
"52","0.091496","2401:4900:32b3:30df:159e:27ba:5143:dbb6","2a03:90c0:5a1:2801::62","TCP","86","40473  >  80 [ACK] Seq=1 Ack=20497 Win=194 Len=0 TSval=471866851 TSecr=1306369345"
"53","0.091637","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
"54","0.091738","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
"55","0.091789","2401:4900:32b3:30df:159e:27ba:5143:dbb6","2a03:90c0:5a1:2801::62","TCP","86","40472  >  80 [ACK] Seq=1 Ack=24340 Win=210 Len=0 TSval=471866851 TSecr=3839641570"
"56","0.091866","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
"57","0.091991","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
"58","0.092028","2401:4900:32b3:30df:159e:27ba:5143:dbb6","2a03:90c0:5a1:2801::62","TCP","86","40472  >  80 [ACK] Seq=1 Ack=26902 Win=210 Len=0 TSval=471866852 TSecr=3839641580"
"59","0.126928","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
"60","0.126928","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
"61","0.126998","2401:4900:32b3:30df:159e:27ba:5143:dbb6","2a03:90c0:5a1:2801::62","TCP","86","40472  >  80 [ACK] Seq=1 Ack=29464 Win=210 Len=0 TSval=471866887 TSecr=3839641615"
"62","0.134742","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
"63","0.134742","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
"64","0.134852","2401:4900:32b3:30df:159e:27ba:5143:dbb6","2a03:90c0:5a1:2801::62","TCP","86","40472  >  80 [ACK] Seq=1 Ack=32026 Win=210 Len=0 TSval=471866895 TSecr=3839641625"
"65","0.135041","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
"66","0.135041","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
"67","0.135041","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
"68","0.135102","2401:4900:32b3:30df:159e:27ba:5143:dbb6","2a03:90c0:5a1:2801::62","TCP","86","40473  >  80 [ACK] Seq=1 Ack=24340 Win=194 Len=0 TSval=471866895 TSecr=1306369408"
"69","0.139061","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
"70","0.139147","2401:4900:32b3:30df:159e:27ba:5143:dbb6","2a03:90c0:5a1:2801::62","TCP","86","40473  >  80 [ACK] Seq=1 Ack=25621 Win=194 Len=0 TSval=471866899 TSecr=1306369408"
"71","0.147440","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
"72","0.149252","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
"73","0.149329","2401:4900:32b3:30df:159e:27ba:5143:dbb6","2a03:90c0:5a1:2801::62","TCP","86","40473  >  80 [ACK] Seq=1 Ack=28183 Win=194 Len=0 TSval=471866909 TSecr=1306369418"
"74","0.159815","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
"75","0.159815","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
"76","0.159920","2401:4900:32b3:30df:159e:27ba:5143:dbb6","2a03:90c0:5a1:2801::62","TCP","86","40473  >  80 [ACK] Seq=1 Ack=30745 Win=194 Len=0 TSval=471866920 TSecr=1306369428"
"77","0.179205","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
"78","0.179205","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
"79","0.179276","2401:4900:32b3:30df:159e:27ba:5143:dbb6","2a03:90c0:5a1:2801::62","TCP","86","40472  >  80 [ACK] Seq=1 Ack=34588 Win=210 Len=0 TSval=471866939 TSecr=3839641655"
"80","0.179448","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
"81","0.179448","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
"82","0.179475","2401:4900:32b3:30df:159e:27ba:5143:dbb6","2a03:90c0:5a1:2801::62","TCP","86","40472  >  80 [ACK] Seq=1 Ack=37150 Win=210 Len=0 TSval=471866939 TSecr=3839641665"
"83","0.180299","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
"84","0.180554","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
"85","0.180600","2401:4900:32b3:30df:159e:27ba:5143:dbb6","2a03:90c0:5a1:2801::62","TCP","86","40473  >  80 [ACK] Seq=1 Ack=33307 Win=194 Len=0 TSval=471866940 TSecr=1306369439"
"86","0.193274","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
"87","0.193478","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
"88","0.193517","2401:4900:32b3:30df:159e:27ba:5143:dbb6","2a03:90c0:5a1:2801::62","TCP","86","40472  >  80 [ACK] Seq=1 Ack=39712 Win=210 Len=0 TSval=471866953 TSecr=3839641670"
"89","0.193744","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
"90","0.194380","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
"91","0.194414","2401:4900:32b3:30df:159e:27ba:5143:dbb6","2a03:90c0:5a1:2801::62","TCP","86","40473  >  80 [ACK] Seq=1 Ack=35869 Win=194 Len=0 TSval=471866954 TSecr=1306369449"
"92","0.196643","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
"93","0.196961","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
"94","0.196961","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
"95","0.197021","2401:4900:32b3:30df:159e:27ba:5143:dbb6","2a03:90c0:5a1:2801::62","TCP","86","40473  >  80 [ACK] Seq=1 Ack=38431 Win=194 Len=0 TSval=471866957 TSecr=1306369459"
"96","0.197382","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
"97","0.197427","2401:4900:32b3:30df:159e:27ba:5143:dbb6","2a03:90c0:5a1:2801::62","TCP","86","40472  >  80 [ACK] Seq=1 Ack=42274 Win=210 Len=0 TSval=471866957 TSecr=3839641679"
"98","0.209103","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
"99","0.214163","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
"100","0.214220","2401:4900:32b3:30df:159e:27ba:5143:dbb6","2a03:90c0:5a1:2801::62","TCP","86","40472  >  80 [ACK] Seq=1 Ack=44836 Win=215 Len=0 TSval=471866974 TSecr=3839641688"
"101","0.214337","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
"102","0.215275","2a03:90c0:5a1:2801::62","2401:4900:32b3:30df:159e:27ba:5143:dbb6","HTTP","1367","Continuation"
"103","0.215332","2401:4900:32b3:30df:159e:27ba:5143:dbb6","2a03:90c0:5a1:2801::62","TCP","86","40473  >  80 [ACK] Seq=1 Ack=40993 Win=194 Len=0 TSval=471866975 TSecr=1306369469"
